Agent,Avg Reward,Std Reward,Min Reward,Max Reward,Avg Steps,Num Eval Episodes
RANDOM,-188.20584986421483,120.13613562443494,-496.2945202140615,-44.24153705231839,89.75,100
DQN,194.39487826859707,59.68245873624607,-18.65650499639819,278.7835892501528,631.66,100
REINFORCE,113.06818327781224,74.30495750098684,-20.848824079252722,266.85149854487213,617.34,100
A2C,200.9079985100438,71.499185773146,-12.81797408364011,301.64885526853385,451.74,100
PPO,271.3817815356877,43.98630234365414,114.47575664387996,316.01313151020497,262.35,100
GENETIC,264.92749537556205,66.4086475210829,27.13281108300724,319.1145774654557,184.64,100
ES,-137.0802224354899,38.89187649245827,-374.95108895104164,-19.15911498067763,68.97,100
